"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","VINA_BODY_TYPE_CD"
"2020009864","","04","N","2","1","","1","04","Y","HYUN","2013","","","","","","","","01","KMHFG4JG9DA","1","","1","00","N","S","020","0","","2","01","02","01","03","NJ","2","01","P4D"
"2020072632","","","","","","","","","","","","Y","01","99","1","U","01","U","00","","1","","","","","","","","","2","30","","99","99","","2","31",""
"2020044808","","04","N","3","1","","1","12","Y","VOLK","2010","","","","","","","","01","WVWHN7AN4AE","1","","1","00","Y","S","025","0","","1","01","12","01","01","PA","1","01","P4D"
"2020059514","","04","N","3","1","","3","12","Y","ACUR","2012","","","","","","","","02","19UUA8F27CA","3","","4","00","Y","E","025","","","1","01","05","08","01","PA","1","01","P4D"
"2020091635","","09","N","1","1","","1","02","Y","MAZD","2019","","","","","","","","01","JM1GL1VM6K1","1","","1","00","N","N","050","","","5","01","05","01","03","NJ","2","01","P"
"2020065845","","40","N","3","2","","1","10","Y","CHRY","2014","","","","","","","","","2C4RC1BG7ER","0","","1","46","Y","","000","0","","2","02","01","06","01","PA","2","07","TSV"
"2020054603","","04","N","3","1","","1","12","Y","HOND","2005","","","","","","","","01","1HGCM55875A","1","","1","00","Y","E","020","0","","1","01","12","13","01","PA","1","01","P4D"
"2020091246","","51","N","3","1","","1","06","Y","TOYT","2008","","","","","","","","02","5TETX22N98Z","2","","1","00","Y","N","005","","","2","01","03","02","03","NJ","3","04","TPC"
"2020064893","","69","N","2","1","","1","06","Y","HOND","2018","","","","","","","","01","2HKRW2H59JH","1","","1","00","N","W","999","","","3","01","03","01","03","PA","2","06","T"
"2020061262","","04","N","3","2","","1","07","U","HYUN","2009","","","","","","","","","KMHDU46D29U","0","","1","00","Y","","000","0","","3","02","05","06","01","NJ","3","01","P4D"
"2020104336","","51","N","1","2","","1","07","U","FORD","2003","","","","","","","","","1FTNF20LX3E","0","","1","00","N","","000","0","","2","02","03","06","01","PA","2","04","TPK"
"2022079291","","09","N","9","1","","1","12","Y","NISS","2007","","","","","","","","02","99999999999","1","","1","00","N","U","999","","","2","01","99","01","01","PA","1","01",""
"2020094833","","69","Y","1","1","","1","06","Y","FORD","2019","","","","","","","","03","1FDXE4FSXKD","1","","1","01","N","S","020","0","","3","01","03","03","01","AZ","2","05","T"
"2020069916","","69","N","1","1","","9","10","Y","JEEP","2020","","","","","","","","01","1C4RJFBT9LC","1","","1","00","N","N","025","","","2","01","05","01","13","PA","2","06","T"
"2020009663","","04","N","3","1","","1","12","Y","TOYT","2009","","","","","","","","01","JTDBL40EX99","2","","1","00","Y","E","999","","","1","01","02","01","06","PA","1","01","P4D"
"2020031428","","03","N","3","1","","1","12","Y","TOYT","2015","","","","","","","","01","JTKJF5C7XF3","1","","1","00","Y","N","045","","","1","01","03","01","09","PA","1","01","P2H"
"2020013640","","04","N","3","1","","1","12","Y","CHRY","2014","","","","","","","","01","1C3CCBAB6EN","1","","1","00","Y","E","025","0","","2","01","12","01","09","PA","2","01","P4D"
"2020073050","","04","N","1","1","","1","12","Y","VOLK","2006","","","","","","","","01","3VWSF71K36M","1","","1","00","N","S","040","0","","1","01","07","01","01","PA","1","01","P4D"
"2020031683","","04","N","2","1","","2","06","Y","TOYT","1997","","","","","","","","02","1NXBA02E9VZ","1","","1","00","N","E","999","0","","3","01","04","01","06","DE","2","01","P4D"
"2020068087","","04","N","3","1","","1","02","N","STRN","2007","","","","","","","","01","1G8ZS57N37F","1","","1","00","Y","S","065","","","1","01","05","15","03","PA","1","01","P4D"
"2020048736","","04","N","3","1","","1","03","Y","AUDI","2005","","","","","","","","01","WAUEL94F75N","1","","1","00","Y","W","025","0","","1","01","05","08","01","PA","1","01","P4D"
"2020012633","","69","N","2","1","","1","06","Y","TOYT","2018","","","","","","","","02","5TDBZRFHXJS","1","","1","00","N","W","005","","","2","01","03","02","03","PA","2","06","T"
"2020037546","","","","","","","","","","","","U","01","99","0","U","01","U","00","","1","","","","","","","","","3","30","","99","99","","2","31",""
"2020034166","","04","N","3","4","","1","02","U","CHEV","2003","","","","","","","","99","2G1WF52E139","1","","1","00","Y","S","999","0","","1","05","05","01","01","NJ","1","01","P4D"
"2020020930","","19","N","2","1","","1","01","Y","FORD","2002","","","","","","","","02","99999999999","1","","1","00","N","N","045","","","1","01","03","15","08","ZZ","1","06",""
"2020020190","","15","N","9","4","","1","12","U","LINC","2008","","","","","","","","99","5LMFU28598L","1","","1","00","N","E","035","0","","1","05","03","01","99","DE","1","06","T4W"
"2020006825","","04","N","3","1","","1","09","Y","TOYT","2013","","","","","","","","02","4T1BF1FKXDU","1","","1","00","Y","S","015","","","2","01","12","01","06","PA","2","01","P4D"
"2020034869","","04","N","3","1","","1","09","Y","VOLK","2014","","","","","","","","01","3VWD17AJ9EM","1","","1","00","Y","E","111","0","","2","01","05","10","13","PA","2","01","P4D"
"2020030107","","04","N","3","1","","1","12","Y","CHEV","2002","","","","","","","","02","1G1ND52J72M","1","","1","00","Y","W","030","0","","1","01","08","01","03","PA","1","01","P4D"
"2020079562","","69","N","1","1","","1","09","Y","FORD","2018","","","","","","","","08","1FDUF4GT7JD","2","","1","02","N","W","020","0","","2","01","03","01","01","PA","2","05","T"
"2020051612","","04","N","3","1","","1","12","Y","TOYT","1998","","","","","","","","02","2T1BR12E1WC","1","","1","00","Y","E","035","0","","1","01","12","01","03","PA","1","01","P4D"
"2020017149","","04","N","3","1","","1","12","Y","CHEV","2015","","","","","","","","98","2G11Z5SL3F9","1","","1","00","Y","S","045","","","1","01","01","01","09","PA","1","01","P4D"
"2020003716","","15","N","9","2","","1","07","Y","DODG","2016","","","","","","","","","1C4RDHDG6GC","0","","1","99","N","","000","","","2","02","05","06","01","PA","2","06","T4W"
"2020020869","","","N","","","","","","","","","U","04","99","0","U","01","U","00","","1","","","","","","","","","2","30","","99","99","","2","31",""
"2020035357","","72","N","0","1","","1","11","Y","LAFR","1999","","","","","","","","08","4Z36ESEB1XR","2","","1","01","N","S","005","0","","1","01","02","10","01","PA","1","05","TFT"
"2020034607","","04","N","3","1","","1","02","U","CHEV","2006","","","","","","","","01","2G1WT55K669","1","","1","00","Y","W","999","0","","2","01","01","01","06","PA","2","01","P4D"
"2020076644","","","","","","","","","","","","Y","04","99","1","U","99","U","","","1","","","","","","","","","2","30","","99","99","","2","99",""
"2020034457","","04","N","3","1","","2","01","N","FORD","2006","","","","","","","","01","1FAFP34N16W","1","","3","00","Y","W","050","","","1","01","02","17","06","PA","1","01","P4D"
"2020029446","","04","N","9","4","","1","12","N","CHRY","2012","","","","","","","","99","1C3CCBABXCN","1","","1","00","N","W","999","0","","1","05","03","01","09","PA","1","01","P4D"
"2020031443","","15","N","3","1","","1","02","Y","FORD","2009","","","","","","","","02","2FMEK62C19B","1","","1","00","Y","W","025","0","","1","01","12","98","13","PA","1","06","T4W"
"2020017856","","15","N","2","1","","1","12","Y","TOYT","2011","","","","","","","","01","2T3RF4DV9BW","1","","1","00","N","N","025","0","","1","01","07","01","98","PA","1","06","T4W"
"2020017232","","04","N","3","1","","1","11","Y","PONT","2007","","","","","","","","01","1G2ZG58N574","1","","4","00","Y","W","050","","","1","01","03","16","03","PA","1","01","P4D"
"2020003868","","09","N","2","2","","1","12","Y","TOYT","2018","","","","","","","","","NMTKHMBX2JR","0","","1","00","N","","000","0","","2","02","03","06","11","PA","2","01","P"
