"CRN","ACCESS_CTRL","ADJ_RDWY_SEQ","LANE_COUNT","OFFSET","RDWY_COUNTY","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2020009178","3","3","3","1754","67","E","3","2","0003","0040","35","CHESTNUT ST"
"2020081551","","4","02","","67","S","4","4","","","","STOKLEY ST"
"2020068542","","3","02","","67","W","4","4","","","30","WASHINGTON AV"
"2020011529","3","3","3","1000","67","N","3","2","3015","0040","25","COBBS CREEK PY"
"2020025281","","3","02","","67","S","4","4","","","25","LINDLEY AV"
"2020050135","","4","02","","67","S","3","4","","","","DECATUR RD"
"2020046153","3","3","03","716","67","E","3","2","3017","0070","35","PARKSIDE AV"
"2020113598","3","3","2","0","67","N","3","2","0291","0150","25","BROAD ST"
"2020076967","3","4","2","2008","67","S","4","2","2009","0021","30","ARAMINGO AV"
"2020039654","","3","01","","67","E","3","4","","","30","SOUTH ST"
"2020067409","","3","02","","67","W","3","4","","","25","TIOGA ST"
"2020014383","","4","02","","67","N","4","4","","","20","PARK AV"
"2020079323","3","4","2","0","67","S","4","2","0013","0251","30","FRANKFORD AV"
"2020100345","","3","02","","67","S","4","4","","","25","34TH ST"
"2020038921","1","3","3","1330","67","N","3","1","0095","0124","55","DELAWARE EX"
"2020029657","1","3","3","1755","67","W","3","1","0076","3435","50","SCHUYLKILL EX"
"2020086523","","4","01","","67","N","4","4","","","25","THIRTYFIRST ST"
"2020036071","3","4","2","302","67","W","4","2","1002","0071","35","ADAMS AV"
"2020074803","3","3","4","1578","67","N","3","2","0611","0070","30","BROAD ST"
"2020054905","","3","02","","67","N","3","4","","","30","22ND ST"
"2020034448","1","3","4","958","67","N","3","1","0095","0310","55","DELAWARE EX"
"2020056350","1","3","3","0","67","E","3","2","0063","0012","55","WOODHAVEN RD"
"2020079433","","3","02","","67","S","3","4","","","25","5TH ST"
"2020099980","","4","99","","67","S","5","4","","","25","65TH ST"
"2020072485","","4","02","","67","E","4","4","","","20","MAYFAIR ST"
"2020015771","","3","02","","67","S","3","4","","","15","SACKETT ST"
"2020032313","1","3","4","312","67","S","3","1","0095","0295","55","DELAWARE EX"
"2020114060","","3","01","","67","N","3","4","","","25","S 5TH ST"
"2020003867","","6","04","","67","S","6","4","","","30","PASSYUNK AV"
"2020030514","3","3","2","1556","67","S","3","2","2007","0140","30","FRANKFORD AV"
"2020020466","","4","02","","67","E","3","4","","","25","49TH ST"
"2020069608","","3","01","","67","N","3","4","","","20","S 27TH ST"
"2020072397","","3","02","","67","S","4","4","","","25","9TH ST"
"2020043726","3","3","2","1335","67","N","3","2","4001","0070","35","HENRY AV"
"2020029253","3","3","2","1011","67","N","3","2","1005","0120","25","CASTOR AV"
"2020038977","3","4","2","565","67","S","4","2","1005","0131","30","CASTOR AV"
"2020036025","","4","01","","67","S","3","4","","","25","PHILIP ST"
"2020085045","","3","01","","67","N","3","4","","","","G ST"
"2020014889","3","4","2","309","67","S","4","2","3005","0131","35","BELMONT AV"
"2020083295","1","4","2","2639","67","S","4","2","8019","0250","20","RAMP D RD"
"2020001395","1","3","4","3892","67","S","3","1","0095","0195","55","DELAWARE EX"
